时间,全球平均温度
1880,10.71444
1881,10.65444
1882,10.71444
1883,10.72444
1884,10.67444
1885,10.75444
1886,10.63444
1887,10.62444
1888,10.98444
1889,10.70444
1890,10.59444
1891,10.65444
1892,10.67444
1893,10.70444
1894,10.65444
1895,10.83444
1896,10.96444
1897,10.76444
1898,10.56444
1899,10.85444
1900,11.02444
1901,10.62444
1902,10.62444
1903,10.43444
1904,10.52444
1905,10.69444
1906,10.66444
1907,10.65444
1908,10.44444
1909,10.58444
1910,10.51444
1911,10.62444
1912,10.40444
1913,10.63444
1914,10.84444
1915,10.71444
1916,10.66444
1917,10.61444
1918,10.83444
1919,10.70444
1920,10.71444
1921,10.88444
1922,10.66444
1923,10.75444
1924,10.63444
1925,10.77444
1926,10.86444
1927,10.95444
1928,10.78444
1929,10.80444
1930,10.92444
1931,10.98444
1932,10.85444
1933,10.74444
1934,10.91444
1935,10.91444
1936,10.93444
1937,11.04444
1938,11.02444
1939,10.94444
1940,11.10444
1941,11.36444
1942,11.01444
1943,11.20444
1944,11.26444
1945,11.22444
1946,10.94444
1947,11.00444
1948,10.88444
1949,10.88444
1950,10.78444
1951,11.07444
1952,10.95444
1953,11.06444
1954,10.89444
1955,10.82444
1956,10.75444
1957,10.97444
1958,11.01444
1959,10.94444
1960,11.00444
1961,10.92444
1962,11.06444
1963,11.16444
1964,10.69444
1965,10.96444
1966,10.87444
1967,11.09444
1968,10.99444
1969,11.03444
1970,10.92444
1971,10.86444
1972,11.03444
1973,11.01444
1974,10.87444
1975,10.82444
1976,10.75444
1977,11.06444
1978,11.01444
1979,11.23444
1980,11.12444
1981,11.12444
1982,11.12444
1983,11.18444
1984,11.08444
1985,11.09444
1986,11.16444
1987,11.29444
1988,11.25444
1989,11.23444
1990,11.37444
1991,11.23444
1992,10.99444
1993,11.16444
1994,11.36444
1995,11.38444
1996,11.15444
1997,11.58444
1998,11.42444
1999,11.28444
2000,11.26444
2001,11.46444
2002,11.43444
2003,11.68444
2004,11.54444
2005,11.62444
2006,11.62444
2007,11.50444
2008,11.61444
2009,11.58444
2010,11.57444
2011,11.55444
2012,11.64444
2013,11.60444
2014,11.70444
2015,11.97444
2016,11.73444
2017,11.75444
2018,11.86444
2019,11.88444
2020,11.76444
2021,11.82444
2022,11.83444
